age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_greater_than_50k
22,Private,300871,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,-1
61,Private,298400,Bachelors,13,Divorced,Sales,Not-in-family,Black,Male,4787,0,48,United-States,1
32,Private,286689,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,42,United-States,1
31,Private,206046,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,-1
39,Local-gov,113253,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,1
32,State-gov,443546,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,United-States,-1
21,Private,344492,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,-1
24,Private,336088,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,50,United-States,-1
42,Private,147099,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States,-1
45,Private,164210,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,-1
46,Local-gov,327886,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,-1
48,Local-gov,238959,Masters,14,Divorced,Exec-managerial,Unmarried,Black,Female,9562,0,40,United-States,1
30,Private,225231,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,8614,0,50,United-States,1
67,Private,172756,1st-4th,2,Widowed,Machine-op-inspct,Not-in-family,White,Female,2062,0,34,Ecuador,-1
21,Private,43475,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,-1
50,Private,150941,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,44,United-States,-1
19,Private,188568,Some-college,10,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,40,United-States,-1
48,Private,145041,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,Dominican-Republic,-1
34,Private,199864,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,40,United-States,-1
40,Private,189666,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,-1
43,State-gov,310969,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,-1
45,Private,96100,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,-1
49,Local-gov,193960,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,1
27,Private,85625,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,20,United-States,-1
40,Private,83859,HS-grad,9,Widowed,Machine-op-inspct,Own-child,White,Female,0,0,30,United-States,-1
51,Private,84399,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,-1
38,Private,172927,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,-1
19,Private,202673,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,50,United-States,-1
34,State-gov,180871,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,United-States,-1
25,Private,212302,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,-1
49,State-gov,423222,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,99999,0,80,United-States,1
29,Private,264961,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,45,United-States,-1
35,Private,180988,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,39,United-States,-1
21,Private,100462,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Female,2174,0,60,United-States,-1
17,Private,110798,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,-1
36,Private,186865,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
45,State-gov,35969,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
47,Private,148995,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
66,Self-emp-inc,249043,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,5556,0,26,United-States,1
57,Private,78707,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,-1
65,Private,93318,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,45,United-States,-1
17,Private,130806,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,24,United-States,-1
26,Local-gov,205570,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-1
35,Private,160120,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,United-States,1
57,Private,84888,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,-1
23,Private,125106,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,-1
18,Private,51255,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,15,United-States,-1
60,Private,227332,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,-1
25,Private,143280,10th,6,Never-married,Priv-house-serv,Own-child,White,Female,0,0,24,United-States,-1
43,Local-gov,198096,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,1
47,Self-emp-not-inc,173613,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,65,United-States,-1
23,Private,120068,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,-1
38,Private,79619,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,42,United-States,1
22,Private,194031,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,-1
34,Local-gov,105540,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2051,40,United-States,-1
64,Private,21174,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
55,Private,199763,HS-grad,9,Separated,Protective-serv,Not-in-family,White,Male,0,0,81,United-States,-1
27,Private,252506,Some-college,10,Divorced,Exec-managerial,Own-child,White,Female,0,0,40,United-States,-1
49,Local-gov,163229,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,56,United-States,-1
39,Self-emp-inc,122742,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-States,1
37,Private,48093,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,90,United-States,1
48,State-gov,85384,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
28,Private,181916,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,-1
46,Private,358886,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-1
28,Private,153546,11th,7,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,-1
33,Private,200246,Some-college,10,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,-1
61,Self-emp-inc,156542,Prof-school,15,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,1
51,State-gov,105943,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,3908,0,40,United-States,-1
58,Private,354024,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
35,Self-emp-not-inc,202027,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,United-States,1
66,Private,271567,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,-1
59,Federal-gov,200700,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,-1
21,Private,273403,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Female,0,0,50,United-States,-1
37,Private,233571,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,37,United-States,1
73,Self-emp-not-inc,177387,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,-1
53,Local-gov,216691,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,10520,0,40,United-States,1
46,Private,191357,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,-1
24,Private,295763,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,50,United-States,-1
42,Private,124792,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,7688,0,45,United-States,1
44,Self-emp-not-inc,104973,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,1
29,Private,29361,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,38,United-States,-1
30,Private,423770,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,Mexico,-1
54,Private,179291,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,56,Haiti,1
36,Private,237943,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,1
43,Self-emp-not-inc,260696,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,-1
29,Private,376680,HS-grad,9,Never-married,Tech-support,Own-child,Black,Male,0,0,40,United-States,-1
25,Private,1484705,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,25,United-States,-1
28,Private,154571,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,-1
90,Private,226968,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-1
31,Private,128220,7th-8th,4,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,-1
49,State-gov,131302,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,44,United-States,-1
35,Private,40135,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,-1
25,Private,125491,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,34,United-States,-1
58,Private,169611,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,-1
17,Self-emp-inc,325171,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,-1
43,Private,117158,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,1
18,Private,301814,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,-1
27,Private,97490,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,-1
36,Private,183612,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,1
38,Private,73471,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,-1
67,Local-gov,342175,Masters,14,Divorced,Adm-clerical,Not-in-family,White,Female,2009,0,40,United-States,-1
50,Self-emp-not-inc,170562,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,20,United-States,-1
36,Self-emp-not-inc,122493,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,47,United-States,-1
29,State-gov,147256,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,1
42,Self-emp-not-inc,104118,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,-1
52,Federal-gov,290856,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
17,Private,123335,10th,6,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,-1
34,Self-emp-not-inc,203488,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,-1
34,Private,208353,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,-1
29,Private,112847,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,7298,0,32,United-States,1
26,State-gov,175044,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,-1
42,Private,78765,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,45,United-States,1
31,Private,246439,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,7298,0,50,United-States,1
46,Private,353219,9th,5,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,-1
28,Private,139568,11th,7,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,-1
42,Private,154076,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,1
25,Private,195201,HS-grad,9,Married-civ-spouse,Sales,Husband,Other,Male,0,0,50,United-States,-1
41,Private,173682,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-1
51,Private,171914,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
56,Private,101128,Assoc-acdm,12,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,25,Iran,-1
24,Private,111445,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,-1
37,Private,166744,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,12,United-States,-1
37,State-gov,173780,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,30,United-States,-1
51,Private,229272,HS-grad,9,Divorced,Other-service,Other-relative,Black,Male,0,0,32,Haiti,-1
30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,-1
48,Private,176917,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,-1
40,State-gov,40024,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,1
21,Private,211385,Assoc-acdm,12,Never-married,Other-service,Not-in-family,Black,Male,0,0,35,Jamaica,-1
50,Federal-gov,96657,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,-1
42,Private,224203,Some-college,10,Widowed,Sales,Unmarried,Black,Female,0,0,40,United-States,-1
24,Private,103277,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,2597,0,40,United-States,-1
29,Private,232914,Assoc-voc,11,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,-1
25,Private,385646,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,-1
31,Private,35378,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,-1
43,Local-gov,269733,HS-grad,9,Separated,Other-service,Not-in-family,White,Male,0,0,40,United-States,-1
42,Private,162003,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,36,United-States,1
27,Local-gov,138917,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,-1
37,Private,202027,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,50,United-States,1
50,Private,176609,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,-1
20,Private,218343,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,-1
33,Private,55291,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
55,Local-gov,88856,7th-8th,4,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,-1
47,Federal-gov,197038,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,-1
27,Private,220748,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,48,United-States,-1
25,Private,190418,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Canada,-1
53,Private,72257,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,-1
26,Self-emp-not-inc,37918,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,60,United-States,-1
34,Private,261799,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,United-States,1
50,Self-emp-inc,174855,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,-1
42,Private,258589,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,1
48,Private,109275,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,-1
43,Self-emp-not-inc,355856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,Philippines,-1
40,Private,160369,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,1
21,Private,249957,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,-1
54,Private,178251,Assoc-acdm,12,Widowed,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,-1
43,Private,145711,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,72,United-States,1
59,Local-gov,223215,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,42,United-States,-1
66,Self-emp-inc,115880,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,-1
47,Local-gov,194360,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,7,United-States,1
21,Private,156980,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,60,United-States,-1
27,Private,369522,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,45,United-States,-1
25,Private,173062,Bachelors,13,Never-married,Handlers-cleaners,Unmarried,Black,Male,0,0,40,United-States,-1
49,Local-gov,173584,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,-1
25,Private,102476,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,-1
33,Self-emp-inc,206609,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,-1
38,Private,117312,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,40,United-States,1
35,Local-gov,231180,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,-1
27,Private,150025,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,Puerto-Rico,-1
61,Local-gov,180079,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,4064,0,40,United-States,-1
32,Private,87643,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,-1
32,Private,256362,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
76,Self-emp-not-inc,237624,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,10,United-States,-1
59,Local-gov,296253,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,8614,0,60,United-States,1
49,Private,166857,9th,5,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,-1
33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,-1
29,Private,34292,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,-1
33,Private,209768,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
41,Private,156566,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,50,United-States,1
20,Private,194891,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,-1
24,Private,488541,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,0,0,35,United-States,-1
23,Private,219535,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,-1
17,Private,226717,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,-1
33,Private,164190,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,1
58,Private,209423,1st-4th,2,Married-civ-spouse,Other-service,Husband,White,Male,0,0,38,Cuba,-1
82,Private,147729,5th-6th,3,Widowed,Other-service,Unmarried,White,Male,0,0,20,United-States,-1
50,Private,266945,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,3137,0,40,El-Salvador,-1
61,Self-emp-inc,61040,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,36,United-States,1
38,Self-emp-not-inc,112158,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,99,United-States,-1
38,Private,20308,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,-1
58,Private,136841,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,99999,0,35,United-States,1
43,Private,137722,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,-1
41,Self-emp-not-inc,134130,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,-1
45,State-gov,32186,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,-1
58,Private,244605,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,3908,0,40,United-States,-1
37,Private,259785,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
47,Private,334039,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,44,United-States,1
33,Private,207301,Assoc-acdm,12,Divorced,Exec-managerial,Own-child,White,Female,0,0,40,United-States,-1
24,Private,229773,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,-1
67,Private,160456,11th,7,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,-1
29,Private,200511,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,-1
32,Private,398019,7th-8th,4,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,15,Mexico,-1
50,Private,134766,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States,1
21,Private,350001,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,20,United-States,-1
19,Private,138153,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,-1
59,Private,167963,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,-1
52,Private,72743,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,-1
49,Self-emp-not-inc,162856,Some-college,10,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,-1
17,Private,198124,11th,7,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,-1
24,Private,161092,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,-1
31,Private,309974,Some-college,10,Separated,Tech-support,Unmarried,Black,Female,0,0,40,United-States,-1
64,Private,292639,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,10566,0,35,United-States,-1
27,Private,146460,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,-1
36,Private,128876,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-1
46,Private,108699,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,-1
67,Private,247566,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,24,United-States,-1
41,Private,116825,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
37,Private,222450,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,-1
20,Private,148509,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,-1
41,Self-emp-not-inc,153132,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,1
24,Private,388093,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States,-1
21,Private,40767,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,-1
27,Private,109001,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,49,United-States,-1
41,Self-emp-not-inc,95708,Masters,14,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,45,United-States,1
30,Private,53285,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,52,United-States,1
17,Private,221403,12th,8,Never-married,Other-service,Own-child,Black,Male,0,0,18,United-States,-1
28,Private,190525,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,-1
41,Private,221947,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,50,United-States,1
65,Private,192133,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2290,0,40,Greece,-1
47,Self-emp-inc,214169,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,15024,0,40,United-States,1
56,Self-emp-not-inc,357118,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States,-1
64,Private,231619,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,21,United-States,-1
38,Private,260997,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,-1
